x,y,s,kappa,dkappa,theta
-321.74001151,206.363633363,4.2332478365,0.0055607893,0.0188855223,2.7541870726
-321.758413491,206.371140625,4.2531222395,0.0059368835,0.0189612104,2.7543013248
-321.776816358,206.378645716,4.2729966425,0.0063144603,0.0190347089,2.7544230665
-321.795220166,206.386148497,4.2928710455,0.0066934758,0.0191059887,2.7545523266
-321.813624973,206.39364883,4.3127454485,0.0070738856,0.0191750203,2.7546891334
-321.832030834,206.401146575,4.3326198515,0.0074556449,0.0192417744,2.754833514
-321.850437805,206.408641592,4.3524942545,0.0078387079,0.0193062218,2.754985495
-321.868845945,206.416133742,4.3723686575,0.0082230286,0.0193683332,2.7551451017
-321.887255308,206.423622883,4.3922430604,0.0086085604,0.0194280791,2.7553123586
-321.905665952,206.431108875,4.4121174634,0.0089952557,0.0194854304,2.7554872894
-321.924077934,206.438591575,4.4319918664,0.0093830669,0.0195403576,2.7556699166
-321.942491312,206.446070841,4.4518662694,0.0097719454,0.0195928315,2.7558602621
-321.960906142,206.453546531,4.4717406724,0.0101618421,0.0196428228,2.7560583466
-321.979322481,206.461018502,4.4916150754,0.0105527075,0.0196903021,2.7562641896
-321.997740386,206.46848661,4.5114894784,0.0109444913,0.0197352401,2.7564778102
-322.016159916,206.475950712,4.5313638814,0.0113371427,0.0197776075,2.7566992259
-322.034581127,206.483410663,4.5512382844,0.0117306103,0.019817375,2.7569284535
-322.053004077,206.490866319,4.5711126873,0.0121248422,0.0198545134,2.7571655087
-322.071428823,206.498317536,4.5909870903,0.0125197859,0.0198889931,2.7574104062
-322.089855423,206.505764168,4.6108614933,0.0129153882,0.0199207851,2.7576631596
-322.108283933,206.51320607,4.6307358963,0.0133115953,0.0199498599,2.7579237814
-322.126714411,206.520643096,4.6506102993,0.0137083531,0.0199761882,2.7581922832
-322.145146915,206.5280751,4.6704847023,0.0141056066,0.0199997407,2.7584686754
-322.163581502,206.535501937,4.6903591053,0.0145033003,0.0200204881,2.7587529672
-322.182018228,206.54292346,4.7102335083,0.0149013783,0.0200384011,2.7590451668
-322.200457152,206.550339522,4.7301079112,0.0152997839,0.0200534504,2.7593452813
-322.21889833,206.557749978,4.7499823142,0.0156984598,0.0200656066,2.7596533167
-322.237341819,206.565154679,4.7698567172,0.0160973484,0.0200748404,2.7599692778
-322.255787676,206.572553479,4.7897311202,0.0164963912,0.0200811226,2.7602931681
-322.274235958,206.579946231,4.8096055232,0.0168955293,0.0200844238,2.7606249903
-322.292686722,206.587332788,4.8294799262,0.0172947031,0.0200847147,2.7609647455
-322.311140023,206.594713003,4.8493543292,0.0176938526,0.020081966,2.7613124339
-322.329595918,206.602086728,4.8692287322,0.018092917,0.0200761483,2.7616680544
-322.348054463,206.609453817,4.8891031352,0.018491835,0.0200672324,2.7620316048
-322.366515715,206.616814121,4.9089775381,0.0188905448,0.0200551889,2.7624030814
-322.384979729,206.624167493,4.9288519411,0.0192889839,0.0200399886,2.7627824796
-322.40344656,206.631513786,4.9487263441,0.0196870893,0.020021602,2.7631697933
-322.421916265,206.638852854,4.9686007471,0.0200847974,0.02,2.7635650152
-322.440396456,206.646187587,4.9884832986,0.020486788,0.0204357285,2.7639683342
-322.45887965,206.653514758,5.0083658502,0.0208973945,0.0208666782,2.7643797316
-322.477365886,206.660834247,5.0282484017,0.021316522,0.021292862,2.7647993777
-322.495855222,206.668145901,5.0481309533,0.0217440759,0.0217142927,2.7652274411
-322.514347718,206.67544956,5.0680135048,0.0221799617,0.0221309829,2.7656640884
-322.532843433,206.682745064,5.0878960563,0.0226240854,0.0225429456,2.7661094842
-322.551342428,206.690032246,5.1077786079,0.023076353,0.0229501936,2.7665637914
-322.569844765,206.69731094,5.1276611594,0.023536671,0.0233527395,2.7670271711
-322.588350506,206.704580974,5.147543711,0.024004946,0.0237505963,2.7674997823
-322.606859715,206.711842175,5.1674262625,0.0244810849,0.0241437766,2.7679817824
-322.625372456,206.719094366,5.187308814,0.0249649949,0.0245322933,2.7684733267
-322.643888795,206.726337366,5.2071913656,0.0254565833,0.0249161593,2.7689745689
-322.662408797,206.733570993,5.2270739171,0.0259557578,0.0252953872,2.7694856606
-322.68093253,206.740795061,5.2469564687,0.0264624263,0.0256699898,2.7700067519
-322.699460061,206.748009382,5.2668390202,0.026976497,0.0260399801,2.7705379908
-322.71799146,206.755213764,5.2867215717,0.0274978783,0.0264053707,2.7710795235
-322.736526794,206.762408014,5.3066041233,0.0280264789,0.0267661744,2.7716314946
-322.755066135,206.769591933,5.3264866748,0.0285622077,0.0271224041,2.7721940466
-322.773609552,206.776765323,5.3463692264,0.0291049739,0.0274740725,2.7727673204
-322.792157117,206.783927981,5.3662517779,0.0296546869,0.0278211924,2.7733514549
-322.810708903,206.791079701,5.3861343294,0.0302112564,0.0281637766,2.7739465875
-322.829264981,206.798220276,5.406016881,0.0307745924,0.028501838,2.7745528535
-322.847825424,206.805349496,5.4258994325,0.031344605,0.0288353892,2.7751703866
-322.866390307,206.812467147,5.445781984,0.0319212048,0.0291644432,2.7757993186
-322.884959704,206.819573013,5.4656645356,0.0325043024,0.0294890126,2.7764397796
-322.90353369,206.826666877,5.4855470871,0.0330938088,0.0298091103,2.777091898
-322.922112339,206.833748518,5.5054296387,0.0336896352,0.0301247491,2.7777558002
-322.940695727,206.840817713,5.5253121902,0.0342916931,0.0304359418,2.7784316111
-322.959283932,206.847874235,5.5451947417,0.0348998942,0.0307427011,2.7791194537
-322.977877028,206.854917857,5.5650772933,0.0355141504,0.0310450398,2.7798194491
-322.996475093,206.861948349,5.5849598448,0.0361343742,0.0313429708,2.7805317171
-323.015078204,206.868965476,5.6048423964,0.0367604778,0.0316365069,2.7812563752
-323.03368644,206.875969005,5.6247249479,0.0373923741,0.0319256607,2.7819935397
-323.052299877,206.882958698,5.6446074994,0.038029976,0.0322104452,2.7827433247
-323.070918594,206.889934313,5.664490051,0.0386731969,0.0324908731,2.7835058428
-323.089542669,206.896895611,5.6843726025,0.0393219501,0.0327669572,2.784281205
-323.108172181,206.903842345,5.7042551541,0.0399761496,0.0330387103,2.7850695203
-323.126807209,206.91077427,5.7241377056,0.0406357092,0.0333061451,2.7858708962
-323.145447831,206.917691136,5.7440202571,0.0413005434,0.0335692746,2.7866854384
-323.164094127,206.924592693,5.7639028087,0.0419705665,0.0338281114,2.787513251
-323.182746175,206.931478687,5.7837853602,0.0426456933,0.0340826684,2.7883544362
-323.201404056,206.938348864,5.8036679118,0.043325839,0.0343329584,2.7892090946
-323.220067847,206.945202965,5.8235504633,0.0440109188,0.0345789941,2.7900773253
-323.23873763,206.952040732,5.8434330148,0.0447008482,0.0348207883,2.7909592255
-323.257413482,206.958861903,5.8633155664,0.045395543,0.0350583539,2.7918548907
-323.276095483,206.965666214,5.8831981179,0.0460949193,0.0352917036,2.792764415
-323.294783713,206.972453401,5.9030806694,0.0467988934,0.0355208503,2.7936878904
-323.31347825,206.979223195,5.922963221,0.0475073818,0.0357458066,2.7946254077
-323.332179173,206.985975329,5.9428457725,0.0482203014,0.0359665855,2.7955770557
-323.350886561,206.992709529,5.9627283241,0.0489375692,0.0361831996,2.7965429218
-323.369600493,206.999425524,5.9826108756,0.0496591025,0.0363956619,2.7975230915
-323.388321046,207.006123038,6.0024934271,0.050384819,0.036603985,2.7985176488
-323.4070483,207.012801795,6.0223759787,0.0511146364,0.0368081818,2.7995266762
-323.425782331,207.019461516,6.0422585302,0.0518484728,0.0370082651,2.8005502542
-323.444523218,207.026101921,6.0621410818,0.0525862467,0.0372042476,2.8015884621
-323.463271038,207.032722728,6.0820236333,0.0533278765,0.0373961422,2.8026413773
-323.482025867,207.039323652,6.1019061848,0.0540732811,0.0375839616,2.8037090757
-323.500787782,207.045904409,6.1217887364,0.0548223797,0.0377677187,2.8047916314
-323.519556859,207.052464712,6.1416712879,0.0555750915,0.0379474262,2.8058891172
