x,y,s,kappa,dkappa,theta
-302.5794722585,229.2601280768,4.9303777662,-0.001947282,0.0087364268,1.1328135524
-302.5710403082,229.2781319292,4.9502583217,-0.0017733166,0.008764513,1.1327765677
-302.5626077232,229.2961354844,4.9701388772,-0.0015988,0.0087918749,1.132743047
-302.5541857271,229.3141149675,4.9899931394,-0.0014234001,0.0088769696,1.1327130424
-302.5457632156,229.3320942063,5.0098474016,-0.0012463045,0.0089626871,1.1326865371
-302.5373402592,229.3500732366,5.0297016639,-0.001067501,0.0090490154,1.1326635648
-302.5289169218,229.3680520885,5.0495559261,-0.0008869775,0.0091359423,1.1326441596
-302.5204932679,229.3860307921,5.0694101883,-0.0007047223,0.0092234559,1.1326283557
-302.5120693624,229.4040093778,5.0892644505,-0.0005207239,0.0093115441,1.1326161876
-302.5036452711,229.4219878765,5.1091187127,-0.0003349709,0.0094001948,1.1326076901
-302.4952210604,229.4399663191,5.1289729749,-0.0001474524,0.0094893959,1.1326028981
-302.486796797,229.4579447371,5.1488272371,4.1842543E-05,0.0095791355,1.1326018468
-302.4783725486,229.4759231622,5.1686814993,0.0002329244,0.0096694015,1.1326045715
-302.4699483834,229.4939016262,5.1885357615,0.0004258036,0.0097601817,1.1326111077
-302.4615243703,229.5118801615,5.2083900237,0.0006204902,0.0098514643,1.1326214914
-302.4531005787,229.5298588005,5.2282442859,0.000816994,0.009943237,1.1326357585
-302.4446770788,229.5478375763,5.2480985481,0.0010153246,0.0100354879,1.1326539452
-302.4362539414,229.5658165218,5.2679528103,0.0012154915,0.0101282049,1.1326760877
-302.4278312379,229.5837956707,5.2878070725,0.0014175037,0.010221376,1.1327022227
-302.4194090405,229.6017750566,5.3076613347,0.0016213702,0.0103149891,1.132732387
-302.4109874219,229.6197547137,5.3275155969,0.0018270995,0.0104090321,1.1327666173
-302.4025664555,229.6377346762,5.3473698591,0.0020347002,0.010503493,1.1328049508
-302.3941462156,229.655714979,5.3672241213,0.0022441804,0.0105983598,1.1328474247
-302.3857267769,229.6736956569,5.3870783835,0.0024555481,0.0106936203,1.1328940764
-302.3773082149,229.6916767454,5.4069326457,0.0026688108,0.0107892626,1.1329449434
