x,y,s,kappa,dkappa,theta
-313.52694079,203.392682885,1.5880010207,0.0038299391,-0.0001396602,2.8210369713
-313.54577989,203.398936788,1.6078510334,0.0038270135,-0.0001551615,2.8211129671
-313.564619466,203.405189261,1.6277010462,0.0038237776,-0.0001709145,2.8211889017
-313.583459515,203.411440303,1.6475510589,0.0038202265,-0.000186915,2.8212647691
-313.602300039,203.417689917,1.6674010717,0.0038163554,-0.0002031584,2.8213405627
-313.621141036,203.423938104,1.6872510844,0.0038121595,-0.0002196405,2.8214162763
-313.639982506,203.430184865,1.7071010972,0.0038076341,-0.0002363567,2.8214919034
-313.658824448,203.436430202,1.72695111,0.0038027746,-0.0002533027,2.8215674373
-313.677666861,203.442674116,1.7468011227,0.0037975765,-0.0002704741,2.8216428714
-313.696509745,203.44891661,1.7666511355,0.0037920354,-0.0002878664,2.8217181989
-313.715353099,203.455157686,1.7865011482,0.0037861468,-0.0003054753,2.821793413
-313.734196921,203.461397346,1.806351161,0.0037799066,-0.0003232964,2.8218685067
-313.753041212,203.467635592,1.8262011738,0.0037733105,-0.0003413252,2.821943473
-313.77188597,203.473872426,1.8460511865,0.0037663546,-0.0003595573,2.8220183048
-313.790731194,203.480107851,1.8659011993,0.0037590348,-0.0003779885,2.822092995
-313.809576884,203.48634187,1.885751212,0.0037513472,-0.0003966141,2.8221675362
-313.828423037,203.492574486,1.9056012248,0.0037432879,-0.0004154299,2.8222419211
-313.847269654,203.498805702,1.9254512375,0.0037348534,-0.0004344314,2.8223161423
-313.866116733,203.50503552,1.9453012503,0.0037260398,-0.0004536143,2.8223901924
-313.884964272,203.511263945,1.9651512631,0.0037168437,-0.000472974,2.8224640637
-313.903812271,203.517490978,1.9850012758,0.0037072616,-0.0004925063,2.8225377486
-313.922660728,203.523716625,2.0048512886,0.0036972901,-0.0005122067,2.8226112395
-313.941509641,203.529940888,2.0247013013,0.0036869259,-0.0005320708,2.8226845285
-313.960359011,203.536163772,2.0445513141,0.0036761658,-0.0005520943,2.8227576079
-313.979208834,203.542385281,2.0644013269,0.0036650067,-0.0005722726,2.8228304697
-313.99805911,203.548605418,2.0842513396,0.0036534456,-0.0005926014,2.8229031061
-314.016909837,203.554824188,2.1041013524,0.0036414794,-0.0006130763,2.8229755089
-314.035761013,203.561041596,2.1239513651,0.0036291055,-0.0006336929,2.8230476702
